"Age","Urban","Tenure","Educ","Expenditure","Marital","Income"
63,1,2,15,72938.3781,1,0
81,1,2,15,6680.15,1,44608
65,1,2,15,15949,1,15236
39,1,2,13,12105.9499,2,70600
24,1,4,13,6900.0501,5,31000
68,1,2,15,18799.5,1,34440
26,2,1,13,7501.2,5,30000
58,1,4,13,7276,1,39636
57,1,4,13,5688.2499,4,16100
25,1,4,16,11382.25,5,22412
73,1,4,15,4888,2,21468
68,1,4,11,5901.4999,1,47400
60,1,1,12,20925.9501,1,184000
83,1,4,12,4391,3,20136
28,1,4,14,9062.7499,1,1495
76,1,1,15,10907,2,26640
78,1,4,16,10085,3,26099
36,1,2,12,8419.7499,5,0
45,1,1,15,30621.75,1,436939
40,1,2,14,10306.0001,3,211250
65,1,1,11,14574.0001,1,55000
37,1,1,12,15165.4998,1,110000
30,1,4,16,7405.5,5,38020
63,1,4,10,6663.5001,3,26640
39,1,1,16,61598.1281,1,774357
28,1,4,11,15303.4499,5,70000
40,1,4,12,6605.5,3,28000
37,1,2,12,8286.5001,2,59616
66,2,2,15,4339.2999,2,79000
42,1,1,15,28419.2501,1,144000
88,1,2,15,14035.05,1,72888
35,1,1,13,16656.2001,1,0
75,1,2,14,3971,2,1608
57,1,5,11,1958,3,5820
61,1,2,15,17551.45,1,280000
29,1,1,14,17212.25,1,90200
27,1,4,13,11964.5,1,63000
38,1,4,16,8124,5,72000
58,1,1,15,10480.25,3,50000
39,1,1,14,31527.5,1,130000
57,1,2,13,4590.5,2,1250
29,1,1,13,9411.25,1,51040
54,1,2,14,11335,1,134000
60,1,1,14,13290.6,1,99000
49,1,1,12,11493.0001,5,15000
43,1,1,16,54813.95,1,2e+05
42,1,1,16,69645.8781,1,150000
54,1,1,15,44528.2501,1,254400
65,1,2,15,17719.45,1,140780
81,1,2,13,24597.5,1,44416
64,2,4,11,2684,3,7889
65,1,1,15,10485.2499,1,37375
54,1,1,16,11657.5501,1,0
64,1,2,16,11352.5001,1,158000
42,1,4,11,12493.5001,1,47000
88,1,4,12,12879,1,61536
57,1,4,12,2771,5,0
24,1,4,13,4810.5,5,12000
78,1,2,13,26121,2,25212
60,1,1,16,80962.0499,1,302776
34,1,1,13,10751.75,1,30000
54,1,4,11,4625,5,17220
55,1,2,12,12914.7501,3,0
43,1,4,12,4948,1,20088
88,1,4,15,4695,2,22896
60,1,1,16,7910.75,5,70000
39,1,1,15,25086.9282,1,3e+05
68,1,1,16,14765,5,127939
41,1,1,13,7365,3,32352
52,1,1,12,14568.5,1,100202
27,1,1,15,11779.5001,1,37200
55,1,1,13,15132,1,50000
32,1,1,12,6888.35,5,17500
69,1,2,12,8192.75,1,66808
32,1,4,13,20363.6281,5,34000
66,1,1,15,25788.0999,1,109188
71,1,1,12,6422,1,50016
51,1,1,15,25743.7499,1,158074
88,1,2,13,12420,2,55572
44,1,1,15,38027.2498,1,135500
59,1,1,15,12509.7501,3,85000
67,1,2,15,5693,3,45993
33,1,4,15,17444.7501,5,125200
39,1,1,15,14508.65,1,0
27,1,1,15,12755.25,1,78500
31,1,4,12,6143,4,40000
43,2,2,10,19181.6281,1,0
30,1,4,15,20953.4999,5,170000
72,1,1,16,22511,1,63216
66,1,1,15,21065.6281,2,29684
88,1,2,13,4829,3,22560
88,1,2,12,9261.2501,2,51088
64,1,2,15,4546.75,3,34054
51,1,2,16,19725.6281,1,85
54,1,2,14,8091.5999,1,50000
42,1,2,15,20540.0001,1,74000
69,1,4,13,10783,5,15108
60,1,1,12,18564.5501,3,65680
88,1,2,15,20107,1,64448
63,1,4,10,5882,2,11088
44,1,4,15,11057.0999,1,73000
49,1,1,15,26500.7501,4,78000
58,1,2,15,13291.0001,5,87025
64,1,2,12,7656.1001,3,0
69,1,2,16,15229.0999,3,0
63,1,2,12,6281.4999,3,35900
54,2,1,13,7496,1,2600
50,2,2,14,3473.7501,5,16420
25,1,4,12,7302,5,50000
63,1,1,12,8611,1,27545
50,1,4,15,16128,3,88001
61,1,1,14,17931,1,34240
60,1,4,16,34677.9169,1,149118
74,1,1,12,12720.7501,2,110960
54,1,4,12,5749.3,5,24000
81,1,2,15,7144,1,142016
27,1,4,13,10802.1501,1,49000
28,1,4,13,7828.2499,1,40000
52,1,4,14,14703.7001,5,45000
53,1,1,15,4381.2501,5,0
63,1,2,16,12863,1,70400
56,1,1,16,8083,2,14608
27,1,4,15,19283.0001,1,119000
46,1,2,12,6614.25,3,30000
62,1,1,14,8568.2499,1,49538
58,1,4,12,13791.2999,3,102930
48,1,1,12,8683.0001,1,0
88,1,2,15,6194.8999,3,16244
64,1,2,10,4424,1,1680
62,1,2,12,5163,3,25000
55,1,1,13,16508.7502,1,74400
50,1,1,12,33241.6999,1,60000
41,1,4,13,14925,1,40000
46,1,2,13,4571,3,7700
35,1,4,13,15272,5,72000
50,1,2,14,12117.2999,1,2000
53,1,1,15,18343.4999,1,74000
40,1,1,12,12405.2501,5,97000
65,1,4,16,12979.3998,5,85000
51,1,4,11,6904.0501,2,24000
57,1,2,12,2069,3,1074
41,1,2,15,10118.0501,1,150000
65,1,2,16,13607.4499,1,101608
75,1,1,15,22162.65,1,0
88,1,2,15,17236,1,46788
31,1,4,13,5642.2501,3,20823
56,1,1,12,28935.8501,1,114500
34,1,4,16,14441.0002,1,170000
48,1,4,13,7966.75,3,1724
32,1,1,13,10975.5,1,60000
68,1,1,13,10222.5001,3,28832
71,1,1,14,32584,1,27773
48,1,1,13,32077.6281,3,80000
56,1,4,13,7648,2,40000
61,1,2,16,47716.1281,1,426522
88,1,2,14,27635.6281,2,44785
28,1,1,15,7783.2501,5,105000
63,1,1,16,27834.75,3,70400
27,1,4,13,7913.7501,5,95680
67,1,4,15,3920.7,3,42456
67,1,2,12,5231,3,26164
72,1,2,15,26418.6281,1,339755
78,1,2,14,5682,3,22008
57,1,4,13,6902.5001,3,5200
51,1,1,15,11093.3999,1,0
76,1,2,13,5417,5,15123
57,1,4,14,8608.0499,1,0
29,1,4,13,11352.9,1,36000
44,1,1,15,40897.5001,1,178000
88,1,2,10,2526.7,2,8400
73,1,2,11,7769.5,3,12408
68,1,2,13,12474,2,25540
46,1,1,13,47852.2,1,90000
43,1,1,12,13229.0001,5,15000
57,1,2,13,3917.5001,2,0
55,1,2,16,30191.6281,5,0
35,1,1,13,7926.75,5,38000
61,1,4,12,2107,5,2808
88,1,2,12,6313,2,16488
62,1,1,12,4746,3,40000
35,1,4,12,15046.1,3,0
65,1,1,15,6094,3,32064
64,2,2,13,15440,1,38329
59,1,2,12,10430.0999,1,0
88,1,4,12,14139,2,20100
22,2,4,13,6927.6,1,43000
55,1,4,15,12802.6281,3,33200
34,1,1,13,11952.2499,1,48000
32,1,1,14,15790.2499,1,82000
76,1,2,12,6027.4499,1,11208
49,1,4,11,6860.4001,5,28966
31,1,2,15,21111.7501,1,53000
45,1,1,15,16221.5002,3,57700
69,2,2,15,6123.5,1,26808
32,1,4,16,17818.6281,5,151700
52,1,1,15,26771.5001,1,187000
49,1,4,14,10417.6001,3,0
31,1,4,13,16243.6283,1,121350
41,1,1,15,10802.5,5,70000
68,1,2,12,4694.5,2,17118
50,1,4,12,6340.0001,1,7000
83,1,2,16,12641.5,1,56823
40,1,4,16,13216.5999,1,25500
39,1,1,13,48532.0001,1,176400
71,1,4,12,8591.5002,3,59852
60,1,2,16,8090.7499,1,50501
53,1,1,11,8274.75,1,40488
74,1,4,15,21103.7499,1,133208
66,1,4,14,5195.25,3,26000
39,1,1,15,10824.4499,1,75000
59,1,1,15,19494.5001,5,84000
80,1,1,12,6143,3,24273
61,1,1,16,19172,2,20400
51,1,1,11,14470.5999,1,73000
88,1,2,12,13697,1,32964
33,1,1,15,21534.128,1,175000
62,1,2,12,14710.75,1,60000
43,1,4,12,74628.9282,1,361608
40,1,4,16,25668.2501,1,185020
36,1,1,13,17405.25,1,106008
64,1,4,14,17172.7501,1,47160
79,1,1,15,12484.6281,2,113564
55,1,2,12,7367,2,32000
66,1,2,14,11739.5,1,19944
37,1,1,16,27722.6281,1,452776
58,1,1,14,40091.428,1,169024
66,1,1,15,11786.75,2,87642
65,1,1,14,17414.6998,1,80000
52,1,1,13,10972.7499,1,61800
53,1,4,11,7677.15,1,24100
56,1,2,16,22992.1001,1,0
49,1,1,13,10772.4,5,3000
22,1,4,13,12502.9999,5,60600
62,1,2,15,24306.9999,1,127600
71,1,4,13,4662,5,15888
58,1,2,11,5174.5,2,18360
70,1,4,11,10766.0501,3,33480
72,1,1,13,6886,2,99608
23,1,4,14,14752.5001,3,131020
59,1,1,16,9920.6281,3,46000
88,1,2,12,9159,1,37908
81,1,2,12,2827,2,1608
62,1,1,14,11698.5,3,61800
50,1,4,15,23093.6281,1,60000
